tree_id,placemark_name,planting_cohort,established,common_name,scientific_name,additional_taxonomy,dbh_inches,dbh_raw,dbh_equiv,dbh_clean,dbh_status,is_multi_stem,source,community_tags,memorial,latitude,longitude
1702,1-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.837635,-87.624176
1703,2-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8375473,-87.6243057
1704,4-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8374786,-87.624176
1705,3-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8374825,-87.6242981
1706,5-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8374481,-87.6242294
1707,7-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8373909,-87.6243286
1708,6-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8373947,-87.6242065
1709,8-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8373489,-87.6242981
1711,11-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.837307,-87.6242905
1712,9-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8372498,-87.6243057
1713,12-2025 O,2025-O,False,Tupelo-Black,Nyssa sylvatica,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8372154,-87.6242905
1714,13-2025 O,2025-O,False,Oak-Bur,Quercus macrocarpa,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8363342,-87.6236115
1715,14-2025 O,2025-O,False,Oak-Bur,Quercus macrocarpa,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8362541,-87.6236038
1716,27-2025 O,2025-O,False,Catalpa,Catalpa sp,Purple,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8358688,-87.6278076
1717,18-2025 O,2025-O,False,Hackberry,Celtis occidentalis,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8357239,-87.6274719
1718,19-2025 O,2025-O,False,Hackberry,Celtis occidentalis,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8355713,-87.6276016
1719,20-2025 O,2025-O,False,Hackberry,Celtis occidentalis,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8355293,-87.6275558
1720,24-2025 O,2025-O,False,Buckeye-Ohio,Aesculus glabra,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8354492,-87.6275406
1721,15-2025 O,2025-O,False,Hophornbeam-American,Ostrya virginiana,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8354607,-87.6276245
1722,16-2025 O,2025-O,False,Hophornbeam-American,Ostrya virginiana,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8354454,-87.6276703
1723,17-2025 O,2025-O,False,Hophornbeam-American,Ostrya virginiana,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.835453,-87.6277313
1724,21-2025 O,2025-O,False,Kentucky Coffeetree,Gymnocladus dioicus,Decafe,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8355904,-87.6277924
1725,22-2025 O,2025-O,False,Kentucky Coffeetree,Gymnocladus dioicus,Decafe,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8355446,-87.6277847
1726,23-2025 O,2025-O,False,Kentucky Coffeetree,Gymnocladus dioicus,Decafe,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8355179,-87.6278076
1727,28-2025 O,2025-O,False,Tuliptree,Liriodendron tulipifera,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8354721,-87.6277542
1728,29-2025 O,2025-O,False,Tuliptree,Liriodendron tulipifera,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8354492,-87.6278152
1729,25-2025 O,2025-O,False,Kentucky Coffeetree,Gymnocladus dioicus,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8353043,-87.6277847
1730,26-2025 O,2025-O,False,Kentucky Coffeetree,Gymnocladus dioicus,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8352356,-87.6277847
1731,30-2025 O,2025-O,False,Redbud-Eastern,Cercis canadensis,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8345566,-87.6273422
1732,31-2025 O,2025-O,False,Redbud-Eastern,Cercis canadensis,,1.0,1,1.0,1.0,new_planting,False,Plant,Planted by Openlands TreeKeepers spring 2025 course students.,,41.8345566,-87.6272812
